"","MSI_TOTAL","results.valence_experiment_order","song1_ID","song1_estVal","song1_familiar","song2_ID","song2_estVal","song2_familiar","song3_ID","song3_estVal","song3_familiar","song4_ID","song4_estVal","song4_familiar","song5_ID","song5_estVal","song5_familiar","song6_ID","song6_estVal","song6_familiar","song7_ID","song7_estVal","song7_familiar","song8_ID","song8_estVal","song8_familiar","song9_ID","song9_estVal","song9_familiar","song10_ID","song10_estVal","song10_familiar","song11_ID","song11_estVal","song11_familiar","song12_ID","song12_estVal","song12_familiar","song13_ID","song13_estVal","song13_familiar","song14_ID","song14_estVal","song14_familiar","song15_ID","song15_estVal","song15_familiar","song16_ID","song16_estVal","song16_familiar","song17_ID","song17_estVal","song17_familiar","song18_ID","song18_estVal","song18_familiar","song19_ID","song19_estVal","song19_familiar","song20_ID","song20_estVal","song20_familiar","song21_ID","song21_estVal","song21_familiar","song22_ID","song22_estVal","song22_familiar","song23_ID","song23_estVal","song23_familiar","song24_ID","song24_estVal","song24_familiar","song25_ID","song25_estVal","song25_familiar"
"13",61,"[183,157,11,97,32,40,223,25,197,140,24,6,225,45,209,109,2,232,38,217,116,56,176,78,206]","183","2","no","157","3","no","11","6","no","97","6","no","32","4","no","40","3","no","223","1","no","25","2","no","197","7","no","140","5","no","24","1","no","6","4","no","225","1","no","45","6","no","209","4","no","109","1","no","2","2","no","232","1","no","38","1","no","217","5","no","116","3","yes","56","6","no","176","2","no","78","4","no","206","3","no"
"14",37,"[196,102,142,65,40,184,116,131,207,132,4,33,163,7,29,105,222,41,128,9,185,32,223,49,124]","196","5","no","102","2","no","142","4","no","65","7","no","40","6","no","184","5","no","116","1","yes","131","3","no","207","6","no","132","4","no","4","5","no","33","7","no","163","1","no","7","4","no","29","3","no","105","2","no","222","2","no","41","6","yes","128","4","no","9","6","no","185","6","no","32","3","no","223","1","no","49","6","yes","124","2","no"
"15",71,"[191,217,111,89,20,60,57,189,27,236,11,96,45,223,165,155,107,52,40,202,67,214,187,162,65]","191","3","no","217","4","no","111","6","yes","89","6","no","20","3","no","60","4","no","57","7","no","189","1","no","27","5","no","236","2","no","11","5","no","96","7","no","45","2","no","223","1","no","165","6","no","155","2","no","107","6","yes","52","5","no","40","4","no","202","2","no","67","5","no","214","3","no","187","6","no","162","2","no","65","6","no"
"16",95,"[8,76,11,7,10,181,30,141,46,95,186,35,31,38,139,223,51,1,179,28,221,150,104,90,53]","8","6","no","76","4","no","11","6","no","7","3","no","10","4","no","181","5","no","30","4","no","141","3","no","46","7","yes","95","6","no","186","6","no","35","3","no","31","1","no","38","3","no","139","4","no","223","1","no","51","3","no","1","5","no","179","4","no","28","3","no","221","3","no","150","6","no","104","5","no","90","6","no","53","7","yes"
"17",50,"[205,231,42,139,19,62,216,142,36,215,71,77,98,132,154,172,39,198,140,209,16,163,204,220,189]","205","5","no","231","1","no","42","5","no","139","4","no","19","5","yes","62","3","no","216","5","no","142","2","no","36","6","no","215","4","no","71","5","no","77","3","no","98","7","yes","132","6","no","154","4","no","172","2","no","39","6","yes","198","5","no","140","3","no","209","3","no","16","6","no","163","1","no","204","7","no","220","6","no","189","3","no"
"18",107,"[114,217,98,94,116,171,238,131,195,90,104,89,227,52,119,66,121,48,33,183,63,65,134,17,158]","114","2","yes","217","3","no","98","7","yes","94","4","no","116","4","yes","171","2","no","238","4","no","131","4","no","195","2","no","90","6","no","104","5","yes","89","6","no","227","4","no","52","6","no","119","4","yes","66","3","no","121","5","yes","48","6","no","33","5","no","183","1","no","63","3","no","65","7","no","134","3","no","17","1","no","158","5","no"
"19",100,"[219,149,228,217,222,155,161,189,208,80,173,131,100,98,96,108,235,239,48,55,163,13,231,125,137]","219","5","no","149","6","no","228","1","no","217","3","no","222","3","no","155","5","no","161","6","no","189","1","no","208","7","no","80","6","no","173","5","no","131","4","no","100","5","no","98","6","yes","96","7","yes","108","1","no","235","1","no","239","3","no","48","5","no","55","7","yes","163","1","no","13","4","no","231","1","yes","125","6","no","137","4","no"
"20",65,"[88,48,50,92,120,94,77,184,93,146,175,15,236,203,10,51,19,109,122,166,11,180,90,29,223]","88","6","no","48","6","no","50","7","no","92","5","yes","120","4","no","94","2","no","77","1","no","184","3","no","93","6","yes","146","5","no","175","6","no","15","6","no","236","1","no","203","5","no","10","3","no","51","6","no","19","6","yes","109","3","no","122","3","yes","166","2","yes","11","5","yes","180","5","yes","90","5","no","29","2","yes","223","1","no"
"21",70,"[63,69,84,123,76,237,31,40,196,202,52,174,44,103,90,2,214,234,55,100,17,229,66,167,145]","63","3","no","69","1","no","84","5","no","123","4","no","76","1","yes","237","6","no","31","1","no","40","6","no","196","4","no","202","5","no","52","6","no","174","6","no","44","4","no","103","2","no","90","4","no","2","5","no","214","2","no","234","6","no","55","6","yes","100","4","no","17","1","no","229","7","no","66","2","no","167","2","no","145","2","no"
"22",42,"[78,86,202,239,105,45,37,35,108,97,167,110,170,238,150,136,81,23,114,109,16,119,19,191,99]","78","5","no","86","5","no","202","3","no","239","2","no","105","3","no","45","5","no","37","4","no","35","6","no","108","2","no","97","6","no","167","1","no","110","2","no","170","3","no","238","1","no","150","6","no","136","5","no","81","5","no","23","4","no","114","3","no","109","2","no","16","6","no","119","7","no","19","7","no","191","5","no","99","6","no"
